shap_id,shape_pts_sequencia,shap_pt_lon,shap_pt_lat
shap_L1,1,-43.16842171939719,-22.912371099365224
shap_L1,2,-43.168447214148856,-22.912372505027992
shap_L1,3,-43.168467626552356,-22.912373598321313
shap_L1,4,-43.168476084347745,-22.912374006505978
shap_L1,5,-43.16848257569457,-22.912374289066165
shap_L1,6,-43.16848804930176,-22.91237450209483
shap_L1,7,-43.16849287334683,-22.91237466789877
shap_L1,8,-43.168497234854655,-22.912374796762208
shap_L1,9,-43.1685012458137,-22.912374897200962
shap_L1,10,-43.168504980261446,-22.912374972777947
shap_L1,11,-43.16850848784475,-22.91237502858096
shap_L1,12,-43.16851180560051,-22.912375065037093
shap_L1,13,-43.168514961757424,-22.912375085181036
shap_L1,14,-43.16851797675896,-22.91237509105459
shap_L1,15,-43.168520869123654,-22.91237508287136
shap_L1,16,-43.168523651521994,-22.912375060777467
shap_L1,17,-43.168526336576,-22.91237502853059
shap_L1,18,-43.168528933069716,-22.912374985329
shap_L1,19,-43.16853144977505,-22.912374931273884
shap_L1,20,-43.168533892527805,-22.912374867335572
shap_L1,21,-43.16853626911311,-22.912374794506867
shap_L1,22,-43.16853858245493,-22.912374712821503
shap_L1,23,-43.16854083838907,-22.912374623249818
shap_L1,24,-43.168543040826286,-22.912374524933867
shap_L1,25,-43.16854519365307,-22.912374418821518
shap_L1,26,-43.168547298806615,-22.91237430583815
shap_L1,27,-43.16854936019766,-22.912374185125806
shap_L1,28,-43.168551379763414,-22.912374057609888
shap_L1,29,-43.16855336042782,-22.91237392332411
shap_L1,30,-43.168554337151235,-22.912373853315174
shap_L1,31,-43.168602352859544,-22.91236757199719
shap_L1,32,-43.1686491563471,-22.912355816960318
shap_L1,33,-43.16869402182898,-22.912338772181638
shap_L1,34,-43.16873625660296,-22.91231669877812
shap_L1,35,-43.16877520682486,-22.912289940491338
shap_L1,36,-43.16881027037365,-22.912258909387113
shap_L1,37,-43.16884090561124,-22.91222408685942
shap_L1,38,-43.168841474085326,-22.912223349316598
shap_L1,39,-43.16884262308117,-22.912221848181943
shap_L1,40,-43.16884378522062,-22.91222031198059
shap_L1,41,-43.16884496246516,-22.912218739832166
shap_L1,42,-43.1688461558258,-22.912217129039224
shap_L1,43,-43.16884736727612,-22.912215477818457
shap_L1,44,-43.16884859687679,-22.9122137816554
shap_L1,45,-43.168849846589254,-22.91221203966967
